"ID","SKU","Name","Category","Brand","Price","Stock","Status","Sales","Revenue","CreatedAt"
"495e866e-f92b-42b6-9b8a-60e3ba144485","test12121asdasafds","wfwfw","","","122.00",0,"draft",0,0,"2026-05-15T06:43:30.007Z"
"4f6b229f-75e3-4526-a47f-bf444550713d","RKSK4","Test Product Donot Delete","Guitar","Example Brand","1100.00",100,"active",0,0,"2026-04-29T05:12:32.653Z"
"5ab87296-1f09-4c06-b07e-0d69fe2c4f06","auto-generate","Apple MacBook Air 2025 M4 | 13.6"" Liquid Retina (2560 x 1664)","Guitar","Example Brand","200.00",18,"active",2,400,"2026-04-20T03:31:13.241Z"
"4884338d-93c9-4d49-8052-c180334fccb1","macbook-2025","Lenovo Legion 5 15IAX10 | Intel Core Ultra 9 275HX (24 Cores) | 32GB DDR5-5600 RAM | 1TB PCIe 4.0 SSD | NVIDIA RTX 5070 8GB | 15.1″ WQXGA OLED 165Hz | Wi-Fi 7 | Thunderbolt 4 | 80Wh Battery | Eclipse Black | Windows 11","","","20000.00",0,"active",0,0,"2026-04-19T17:14:40.003Z"
"4959cba8-6b95-4e6d-8306-31a155b42401","APP-025","Air Purifier Pro","","","229.99",251,"draft",10,2299.9,"2026-03-15T05:50:38.978Z"
"08629db0-7d11-4049-b9ab-5be14926817a","APP-024","Robot Vacuum Cleaner","","","399.99",212,"draft",2,799.98,"2026-03-15T05:50:38.949Z"
"7f1d9e7b-cbc0-4aaf-acc4-6755bf6a9a66","APP-023","Smart LED Light Strip","","","39.99",0,"draft",0,0,"2026-03-15T05:50:38.904Z"
"808ac0d3-2605-4c05-9e13-fbee092f7224","APP-021","Portable Power Bank 20000mah","","","59.99",0,"draft",0,0,"2026-03-15T05:50:38.808Z"
"13bc478f-96c5-4f7b-b1bc-57d935e4cccc","APP-020","USB-C Docking Station","","","139.99",0,"draft",0,0,"2026-03-15T05:50:38.765Z"
"fa49306a-dcc9-4357-af13-cd4150a17b93","APP-019","Mesh WiFi System Pro","","","249.99",0,"draft",0,0,"2026-03-15T05:50:38.713Z"
"774f97c3-0193-4566-b908-73869115262d","APP-018","WiFi Router AX5400","","","159.99",0,"draft",0,0,"2026-03-15T05:50:38.686Z"
"59523f29-a630-48a9-a1b5-dd6faa5671ca","APP-017","External HDD 2TB","","","99.99",0,"draft",0,0,"2026-03-15T05:50:38.652Z"
"b7f2641d-4e22-415b-923f-d2a3ff0e32d0","APP-016","External SSD 1TB","","","189.99",0,"draft",0,0,"2026-03-15T05:50:38.621Z"
"f58cbbf1-57e2-4a84-8124-c5c553f50ae4","APP-015","Curved Gaming Monitor 27","","","449.99",0,"draft",0,0,"2026-03-15T05:50:38.582Z"
"9999fd0d-d070-4df3-bfe8-207109d4a299","APP-014","RGB Gaming Mouse","","","79.99",0,"draft",0,0,"2026-03-15T05:50:38.550Z"
"f162e9bf-45f2-4286-a7a9-989e4b5c8af0","APP-013","Mechanical Gaming Keyboard","","","129.99",0,"draft",0,0,"2026-03-15T05:50:38.521Z"
"696efef4-88ac-4a9b-997e-aeb5bf6622d5","APP-012","Mirrorless Camera Z","","","999.99",0,"draft",0,0,"2026-03-15T05:50:38.488Z"
"62cc8ef2-37f2-42f6-a5d7-a3529176725a","APP-011","Professional DSLR Camera","","","1199.99",0,"draft",0,0,"2026-03-15T05:50:38.453Z"
"f9fd63ad-0dad-4182-9bc1-5352e217b749","APP-010","Portable Bluetooth Speaker","","","149.99",0,"draft",0,0,"2026-03-15T05:50:38.419Z"
"d916292f-944f-43e2-8c2e-5a54229c6d6c","APP-009","4K Smart TV 55inch","","","899.99",0,"draft",0,0,"2026-03-15T05:50:38.383Z"
"6cf7987d-4a18-499c-ac99-641beb328c32","APP-008","Noise Cancelling Headphones","","","299.99",0,"draft",0,0,"2026-03-15T05:50:38.348Z"
"32939341-f879-4749-82e9-c4677e7ef00e","APP-007","Smartwatch Series 5","","","349.99",0,"draft",0,0,"2026-03-15T05:50:38.311Z"
"6cde4203-5495-41e4-9968-a6fc6fde2637","APP-006","Wireless Earbuds Max","","","199.99",0,"draft",0,0,"2026-03-15T05:50:38.202Z"
"ad55bb0f-a050-4658-81b6-ad3ae802a5f8","APP-005","Gaming Laptop X","","","1499.99",0,"draft",0,0,"2026-03-15T05:50:38.146Z"
"c6ba17be-62a3-4f39-a3de-35872c20f286","APP-004","Ultra Laptop Pro","","","1299.99",0,"draft",0,0,"2026-03-15T05:50:38.078Z"
"f461b8fc-1f70-4483-b9f6-975eb1598098","APP-003","Premium Smartphone Gamma","","","699.99",0,"draft",0,0,"2026-03-15T05:50:38.000Z"
"e905001f-60a4-4d72-bae8-10145e66f48f","APP-002","Premium Smartphone Beta","","","799.99",0,"draft",0,0,"2026-03-15T05:50:37.940Z"
"a5db38db-d268-4394-9ac2-c59493b045fc","EXAMPLE-SKU-001","Example Product","Example Category","Example Brand","99.99",100,"active",0,0,"2026-03-11T10:19:22.190Z"
